Name,Age,Occupation,Hometown,Height,ElimWeek,Season,Year,Minority,hi
DeShaun Warner,25,Account manager/sales,"Phillipsburg, New Jersey",,1,5,,,
Jessica Kyron,21,Student,"Cincinnati, Ohio",,1,5,,,
Holly Reeder,26,Bank representative,"Tulsa, Oklahoma",,1,5,,,
Rachel Clementi,26,Fashion public relations manager,"Buffalo, New York",,1,5,,,
Kristin Clearwater,25,Singer,"Sausalito, California",,1,5,,,
Jennifer Wilson,24,Teacher,"Pembroke Pines, Florida",,,9,,,
Sadie Murray,23,Publicist,"Carlsbad, California",,7,9,,,
Lisa Blank,25,Marketing manager,"Portland, Oregon",,6,9,,,
Agnese Polliza,24,Student,"Venice, Italy",,5,9,,,
Jeanette Pawula,23,Teacher,"Bloomingdale, Illinois",,4,9,,,
Desiree Valentin,22,Realtor,"Salt Lake City, Utah",,4,9,,,
Jami Matzke,27,Event planner,"Galveston, Texas",,3,9,,,
Gina Clark,28,Ultrasound technician,"Chicago, Illinois",,3,9,,,
Erica Rose,23,Socialite,"Houston, Texas",,3,9,,,
Sarah Schnare,30,Journalist,"Nelson, British Columbia",,2,9,,,
Kim Jackson,27,Interior designer,"Newport Beach, California",,2,9,,,
Ellen DeMaio,30,Realtor,"New Haven, Connecticut",,2,9,,,
Tara Durr,24,Realtor,"St. Augustine, Florida",,1,9,,,
Rosella Fratto,27,Make-up artist,"Chicago, Illinois",,1,9,,,
Rita Ghazal,29,Policy advisor,"Richmond, VA",,1,9,,,
Renee Snell,30,Broadcast marketer,"Baltimore, MD",,1,9,,,
Meri Barr,27,Attorney,"Biloxi, MS",,1,9,,,
Laura Morgan,29,Dolphin trainer,"San Diego, CA",,1,9,,,
Jessica Horner,25,Assistant buyer,"Charlotte, NC",,1,9,,,
Heather Sneed,34,Registered nurse,"Aliquippa, PA",,1,9,,,
Elyse Hammer,27,Physician,"New York, NY",,1,9,,,
Cosetta Blanca,,Dancer,Italy,,1,9,,,
Claudia Gismondi,22,Restaurateur,"Boca Raton, FL",,1,9,,,
Carissa Ilburg,25,Attorney,"Cattaraugus, NY",,1,9,,,
Britt (Bowe) Newton,28,Beer chemist,"Columbus, OH",,1,9,,,
Andrea Shirley,28,Hotel concierge,"Cincinnati, OH",,1,9,,,
April Jacobs,23,Model,"Chicago, IL",,1,9,,,
Tessa Horst,26,Social Worker,"San Francisco, California",,,10,,,
Bevin Nicole Powers,28,Assistant,"Palo Alto, California",,8,10,,,
